Energy Loss (eV),Intensity (u.a.)
3.40E+00,8.67E+02
3.45E+00,8.72E+02
3.50E+00,9.56E+02
3.55E+00,1.04E+03
3.60E+00,9.71E+02
3.65E+00,9.44E+02
3.70E+00,9.61E+02
3.75E+00,9.40E+02
3.80E+00,8.92E+02
3.85E+00,9.63E+02
3.90E+00,9.49E+02
3.95E+00,9.35E+02
4.00E+00,9.69E+02
4.05E+00,9.83E+02
4.10E+00,8.96E+02
4.15E+00,1.03E+03
4.20E+00,9.52E+02
4.25E+00,8.40E+02
4.30E+00,1.03E+03
4.35E+00,8.87E+02
4.40E+00,9.57E+02
4.45E+00,9.75E+02
4.50E+00,9.19E+02
4.55E+00,1.01E+03
4.60E+00,9.69E+02
4.65E+00,9.29E+02
4.70E+00,9.42E+02
4.75E+00,9.66E+02
4.80E+00,8.96E+02
4.85E+00,8.67E+02
4.90E+00,9.14E+02
4.95E+00,8.73E+02
5.00E+00,9.55E+02
5.05E+00,9.92E+02
5.10E+00,9.98E+02
5.15E+00,9.90E+02
5.20E+00,9.29E+02
5.25E+00,1.00E+03
5.30E+00,1.00E+03
5.35E+00,1.02E+03
5.40E+00,9.37E+02
5.45E+00,1.01E+03
5.50E+00,1.02E+03
5.55E+00,9.71E+02
5.60E+00,9.71E+02
5.65E+00,1.06E+03
5.70E+00,1.01E+03
5.75E+00,1.07E+03
5.80E+00,1.05E+03
5.85E+00,1.02E+03
5.90E+00,1.03E+03
5.95E+00,9.48E+02
6.00E+00,1.05E+03
6.05E+00,1.04E+03
6.10E+00,1.05E+03
6.15E+00,1.08E+03
6.20E+00,1.11E+03
6.25E+00,9.98E+02
6.30E+00,1.08E+03
6.35E+00,1.08E+03
6.40E+00,9.58E+02
6.45E+00,1.08E+03
6.50E+00,1.02E+03
6.55E+00,1.10E+03
6.60E+00,1.09E+03
6.65E+00,1.12E+03
6.70E+00,1.10E+03
6.75E+00,1.09E+03
6.80E+00,1.07E+03
6.85E+00,1.10E+03
6.90E+00,1.13E+03
6.95E+00,1.13E+03
7.00E+00,1.17E+03
7.05E+00,1.06E+03
7.10E+00,1.10E+03
7.15E+00,1.18E+03
7.20E+00,1.09E+03
7.25E+00,1.13E+03
7.30E+00,1.17E+03
7.35E+00,1.15E+03
7.40E+00,1.22E+03
7.45E+00,1.20E+03
7.50E+00,1.11E+03
7.55E+00,1.11E+03
7.60E+00,1.13E+03
7.65E+00,1.13E+03
7.70E+00,1.23E+03
7.75E+00,1.14E+03
7.80E+00,1.16E+03
7.85E+00,1.16E+03
7.90E+00,1.22E+03
7.95E+00,1.19E+03
8.00E+00,1.24E+03
8.05E+00,1.35E+03
8.10E+00,1.26E+03
8.15E+00,1.21E+03
8.20E+00,1.26E+03
8.25E+00,1.24E+03
8.30E+00,1.27E+03
8.35E+00,1.26E+03
8.40E+00,1.23E+03
8.45E+00,1.34E+03
8.50E+00,1.15E+03
8.55E+00,1.22E+03
8.60E+00,1.29E+03
8.65E+00,1.28E+03
8.70E+00,1.20E+03
8.75E+00,1.23E+03
8.80E+00,1.31E+03
8.85E+00,1.26E+03
8.90E+00,1.32E+03
8.95E+00,1.40E+03
9.00E+00,1.24E+03
9.05E+00,1.31E+03
9.10E+00,1.29E+03
9.15E+00,1.41E+03
9.20E+00,1.40E+03
9.25E+00,1.40E+03
9.30E+00,1.36E+03
9.35E+00,1.38E+03
9.40E+00,1.34E+03
9.45E+00,1.31E+03
9.50E+00,1.39E+03
9.55E+00,1.30E+03
9.60E+00,1.47E+03
9.65E+00,1.36E+03
9.70E+00,1.39E+03
9.75E+00,1.53E+03
9.80E+00,1.47E+03
9.85E+00,1.43E+03
9.90E+00,1.48E+03
9.95E+00,1.41E+03
1.00E+01,1.52E+03
1.01E+01,1.49E+03
1.01E+01,1.54E+03
1.02E+01,1.57E+03
1.02E+01,1.63E+03
1.03E+01,1.55E+03
1.03E+01,1.61E+03
1.04E+01,1.47E+03
1.04E+01,1.63E+03
1.05E+01,1.56E+03
1.05E+01,1.60E+03
1.06E+01,1.64E+03
1.06E+01,1.62E+03
1.07E+01,1.54E+03
1.07E+01,1.66E+03
1.08E+01,1.61E+03
1.08E+01,1.74E+03
1.09E+01,1.65E+03
1.09E+01,1.63E+03
1.10E+01,1.69E+03
1.10E+01,1.65E+03
1.11E+01,1.61E+03
1.11E+01,1.71E+03
1.12E+01,1.70E+03
1.12E+01,1.78E+03
1.13E+01,1.68E+03
1.13E+01,1.79E+03
1.14E+01,1.72E+03
1.14E+01,1.75E+03
1.15E+01,1.78E+03
1.15E+01,1.73E+03
1.16E+01,1.68E+03
1.16E+01,1.73E+03
1.17E+01,1.78E+03
1.17E+01,1.81E+03
1.18E+01,1.78E+03
1.18E+01,1.81E+03
1.19E+01,1.81E+03
1.19E+01,1.74E+03
1.20E+01,1.79E+03
1.20E+01,1.83E+03
1.21E+01,1.75E+03
1.21E+01,1.83E+03
1.22E+01,1.85E+03
1.22E+01,1.87E+03
1.23E+01,1.88E+03
1.23E+01,1.90E+03
1.24E+01,1.82E+03
1.24E+01,1.89E+03
1.25E+01,1.91E+03
1.25E+01,1.95E+03
1.26E+01,1.98E+03
1.26E+01,1.94E+03
1.27E+01,2.00E+03
1.27E+01,2.04E+03
1.28E+01,1.99E+03
1.28E+01,2.03E+03
1.29E+01,2.03E+03
1.29E+01,2.06E+03
1.30E+01,2.07E+03
1.30E+01,2.02E+03
1.31E+01,2.06E+03
1.31E+01,2.11E+03
1.32E+01,2.08E+03
1.32E+01,2.03E+03
1.33E+01,2.13E+03
1.33E+01,2.15E+03
1.34E+01,2.04E+03
1.34E+01,2.08E+03
1.35E+01,2.12E+03
1.35E+01,2.23E+03
1.36E+01,2.21E+03
1.36E+01,2.16E+03
1.37E+01,2.16E+03
1.37E+01,2.31E+03
1.38E+01,2.24E+03
1.38E+01,2.18E+03
1.39E+01,2.15E+03
1.39E+01,2.23E+03
1.40E+01,2.24E+03
1.40E+01,2.19E+03
1.41E+01,2.35E+03
1.41E+01,2.26E+03
1.42E+01,2.36E+03
1.42E+01,2.33E+03
1.43E+01,2.31E+03
1.43E+01,2.41E+03
1.44E+01,2.45E+03
1.44E+01,2.34E+03
1.45E+01,2.33E+03
1.45E+01,2.44E+03
1.46E+01,2.32E+03
1.46E+01,2.29E+03
1.47E+01,2.44E+03
1.47E+01,2.39E+03
1.48E+01,2.38E+03
1.48E+01,2.43E+03
1.49E+01,2.45E+03
1.49E+01,2.47E+03
1.50E+01,2.53E+03
1.50E+01,2.58E+03
